prhvos,prmvos,morobs,guilt,pride,emorep,vofrequ,prhvoss,obse,morobss,feeltr,SER,selfas,VoicSat,frame,comval,authov,corese,ueprorg,shame,constr
4,4,4,1.17,3.67,1,5,4,4.3,3.25,3.9,4.25,2.25,4,5,4.67,1,2.58,2,2.33,3.56
4.2,3.8,5,4.67,3.78,1,4,4.8,3.9,4.38,5,4,2,5,5,5,5,2.5,2.83,2.13,3.5
4.2,4.8,3.75,2,4,1,4,4.6,3.6,4,3.8,4.25,3.25,4.67,4.25,4,3.67,2.5,3.33,1.13,3.22
3.6,4,4,1,3.33,1,4,4.2,4.3,4.63,3.9,4,3,4,5,5,3.33,4.67,1.17,1,3.61
3.2,2,2.63,1,2.56,3,3,4.2,4.3,3.88,3,2.5,3.5,2,4,4,3.67,4,2.83,1.27,4
4.6,4.4,4.13,1,3.33,2,5,4.6,4.3,3.88,4,4.25,2.75,4,4.75,4.67,5,4.58,1,1.27,3.44
4.8,4.6,4.5,1.17,3.89,1,5,4,4.2,4.5,4.7,5,3.5,4,3.5,5,5,4.5,1.5,1.27,3.94
3.8,3.8,3.75,2.17,4.44,2,4,4.6,4.2,4.75,3.9,3.75,3.5,4,3.5,1.33,2.67,3.42,3,1.47,3.72
4,4,4,1,4,1,5,4.2,4.3,4,4.3,4,3,4,4,4.67,4,3.83,2.33,1.2,3.56
3.4,4.4,4.38,2.17,4,2.4,3,3.8,3.2,4.75,3.6,3.5,3.25,2.67,2,4,3,3.08,3.83,2.27,2.22
4.8,5,5,1,4.67,1,3,5,4.6,4.63,3.7,2.75,4,5,4.25,5,2.67,4,1.33,1.27,3.44
3.8,3.6,3.5,2,4.22,2.2,3,4,3.7,4,3.9,4.25,3.75,4.33,4.5,5,3.33,2.58,2.67,2,3
4.8,5,4.5,1,5,1,3,5,5,4.75,4.8,5,5,5,4.5,5,5,4.83,1,1,3.11
4,3.8,3,1.67,3.56,1.6,4,4,4.6,4,4.3,3.25,2.5,4,4,5,1,3.5,3.33,1.33,3.06
4.6,4.4,3.75,1,4,1,5,4.8,4.2,4.25,3.7,4.75,4,4.33,5,5,3.33,3.83,2,1,3.11
3.6,4,4,1.17,3,3,5,4,3.3,3.63,3.8,4,1.75,3.67,1,5,5,2.75,1.83,1,3.61
2.6,2.4,5,1.5,3,3,7,3.8,3.9,4,3.4,2.5,2.5,2.33,1.25,3.33,4,4.5,1,1.4,3.22
3,3.8,3.5,1,3.22,3,5,4,4.5,3.75,4,4.5,2.25,4,4,2.67,2,3.67,1.83,1,3.56
